,Beep Time,Response Time,Delay
0,3.7,5.5,1.8
1,8.7,9.4,0.7
2,13.7,14.9,1.2
3,18.7,22.9,4.2
4,23.7,25.3,1.6
5,28.7,31.6,2.9
6,33.7,34.9,1.2
7,38.7,39.4,0.7
8,43.7,44.3,0.6
9,48.7,49.6,0.9
10,53.7,57.0,3.3
11,58.7,-1.0,-1.0
12,63.7,65.5,1.8
13,68.7,69.7,1.0
14,73.7,75.2,1.5
15,78.7,80.1,1.4
16,83.7,86.3,2.6
17,88.7,-1.0,-1.0
18,93.7,100.7,7.0
19,108.6,109.7,1.1
20,112.2,113.2,1.0
21,117.1,117.8,0.7
22,122.1,122.7,0.6
23,127.2,129.4,2.2
24,132.1,-1.0,-1.0
25,137.1,138.4,1.3
26,142.2,142.8,0.6
27,145.2,-1.0,-1.0
28,147.2,-1.0,-1.0
29,152.1,153.9,1.8
30,157.2,158.1,0.9
31,162.2,162.8,0.6
32,167.1,168.2,1.1
33,172.2,173.1,0.9
34,177.2,179.0,1.8
35,182.1,-1.0,-1.0
36,187.2,-1.0,-1.0
37,192.1,-1.0,-1.0
38,197.1,-1.0,-1.0
39,202.2,205.2,3.0
40,207.2,-1.0,-1.0
41,212.1,-1.0,-1.0
42,217.2,-1.0,-1.0
43,222.2,-1.0,-1.0
44,227.1,-1.0,-1.0
45,232.2,-1.0,-1.0
46,237.2,-1.0,-1.0
47,242.1,-1.0,-1.0
48,247.2,-1.0,-1.0
49,252.1,-1.0,-1.0
50,257.1,263.5,6.4
